region,hemi,value1,value2
och,left,NA,NA
OLF,right,NA,NA
OLF,left,NA,NA
onl,right,NA,NA
onl,left,NA,NA
OP,right,NA,NA
OP,left,NA,NA
opt,right,NA,NA
opt,left,NA,NA
or,right,NA,NA
or,left,NA,NA
ORB,right,NA,NA
ORB,left,NA,NA
ORBl,right,NA,NA
ORBl,left,NA,NA
ORBl1,right,NA,NA
ORBl1,left,NA,NA
ORBl2/3,right,NA,NA
ORBl2/3,left,NA,NA
ORBl5,right,NA,NA
ORBl5,left,NA,NA
ORBl6a,right,NA,NA
ORBl6a,left,NA,NA
ORBl6b,right,NA,NA
ORBl6b,left,NA,NA
ORBm,right,NA,NA
ORBm,left,NA,NA
ORBm1,right,NA,NA
ORBm1,left,NA,NA
ORBm2/3,right,NA,NA
ORBm2/3,left,NA,NA
ORBm5,right,NA,NA
ORBm5,left,NA,NA
ORBm6a,right,NA,NA
ORBm6a,left,NA,NA
ORBm6b,right,NA,NA
ORBm6b,left,NA,NA
ORBvl,right,NA,NA
ORBvl,left,NA,NA
ORBvl1,right,NA,NA
ORBvl1,left,NA,NA
ORBvl2/3,right,NA,NA
ORBvl2/3,left,NA,NA
ORBvl5,right,NA,NA
ORBvl5,left,NA,NA
ORBvl6a,right,NA,NA
ORBvl6a,left,NA,NA
ORBvl6b,right,NA,NA
ORBvl6b,left,NA,NA
OT,right,NA,NA
OT,left,NA,NA
OV,right,NA,NA
OV,left,NA,NA
P,right,NA,NA
P,left,NA,NA
P-mot,right,NA,NA
P-mot,left,NA,NA
P-sat,right,NA,NA
P-sat,left,NA,NA
P-sen,right,NA,NA
P-sen,left,NA,NA
P5,right,NA,NA
P5,left,NA,NA
PA,right,NA,NA
PA,left,NA,NA
Pa4,right,NA,NA
Pa4,left,NA,NA
Pa5,right,NA,NA
Pa5,left,NA,NA
PAA,right,NA,NA
PAA,left,NA,NA
PAG,right,NA,NA
PAG,left,NA,NA
PAL,right,NA,NA
PAL,left,NA,NA
PALc,right,NA,NA
PALc,left,NA,NA
PALd,right,NA,NA
PALd,left,NA,NA
PALm,right,NA,NA
PALm,left,NA,NA
PALv,right,NA,NA
PALv,left,NA,NA
PAR,right,NA,NA
PAR,left,NA,NA
PARN,right,NA,NA
PARN,left,NA,NA
PAS,right,NA,NA
PAS,left,NA,NA
PB,right,NA,NA
PB,left,NA,NA
PBG,right,NA,NA
PBG,left,NA,NA
pc,right,NA,NA
pc,left,NA,NA
PC5,right,NA,NA
PC5,left,NA,NA
PCG,right,NA,NA
PCG,left,NA,NA
PCN,right,NA,NA
PCN,left,NA,NA
PD,right,NA,NA
PD,left,NA,NA
PDTg,right,NA,NA
PDTg,left,NA,NA
PeF,right,NA,NA
PeF,left,NA,NA
PERI,right,NA,NA
PERI,left,NA,NA
PERI1,right,NA,NA
PERI1,left,NA,NA
PERI2/3,right,NA,NA
PERI2/3,left,NA,NA
PERI5,right,NA,NA
PERI5,left,NA,NA
PERI6a,right,NA,NA
PERI6a,left,NA,NA
PERI6b,right,NA,NA
PERI6b,left,NA,NA
PF,right,NA,NA
PF,left,NA,NA
PFL,right,NA,NA
PFL,left,NA,NA
PG,right,NA,NA
PG,left,NA,NA
PGRN,right,NA,NA
PGRN,left,NA,NA
PGRNd,right,NA,NA
PGRNd,left,NA,NA
PGRNl,right,NA,NA
PGRNl,left,NA,NA
PH,right,NA,NA
PH,left,NA,NA
PHY,right,NA,NA
PHY,left,NA,NA
PIL,right,NA,NA
PIL,left,NA,NA
PIR,right,NA,NA
PIR,left,NA,NA
PL,right,NA,NA
PL,left,NA,NA
PL1,right,NA,NA
PL1,left,NA,NA
PL2/3,right,NA,NA
PL2/3,left,NA,NA
PL5,right,NA,NA
PL5,left,NA,NA
PL6a,right,NA,NA
PL6a,left,NA,NA
PL6b,right,NA,NA
PL6b,left,NA,NA
pm,right,NA,NA
pm,left,NA,NA
PMd,right,NA,NA
PMd,left,NA,NA
PMv,right,NA,NA
PMv,left,NA,NA
PN,right,NA,NA
PN,left,NA,NA
PO,right,NA,NA
PO,left,NA,NA
POL,right,NA,NA
POL,left,NA,NA
POR,right,NA,NA
POR,left,NA,NA
POST,right,NA,NA
POST,left,NA,NA
PoT,right,NA,NA
PoT,left,NA,NA
PP,right,NA,NA
PP,left,NA,NA
PPN,right,NA,NA
PPN,left,NA,NA
PPT,right,NA,NA
PPT,left,NA,NA
PPY,right,NA,NA
PPY,left,NA,NA
PR,right,NA,NA
PR,left,NA,NA
PRC,right,NA,NA
PRC,left,NA,NA
PRE,right,NA,NA
PRE,left,NA,NA
PRM,right,NA,NA
PRM,left,NA,NA
PRNc,right,NA,NA
PRNc,left,NA,NA
PRNr,right,NA,NA
PRNr,left,NA,NA
ProS,right,NA,NA
ProS,left,NA,NA
PRP,right,NA,NA
PRP,left,NA,NA
PRT,right,NA,NA
PRT,left,NA,NA
PS,right,NA,NA
PS,left,NA,NA
PST,right,NA,NA
PST,left,NA,NA
PSTN,right,NA,NA
PSTN,left,NA,NA
PSV,right,NA,NA
PSV,left,NA,NA
PT,right,NA,NA
PT,left,NA,NA
PTLp,right,NA,NA
PTLp,left,NA,NA
PVa,right,NA,NA
PVa,left,NA,NA
PVH,right,NA,NA
PVH,left,NA,NA
PVHd,right,NA,NA
PVHd,left,NA,NA
PVi,right,NA,NA
PVi,left,NA,NA
PVp,right,NA,NA
PVp,left,NA,NA
PVpo,right,NA,NA
PVpo,left,NA,NA
PVR,right,NA,NA
PVR,left,NA,NA
PVT,right,NA,NA
PVT,left,NA,NA
PVZ,right,NA,NA
PVZ,left,NA,NA
py,right,NA,NA
py,left,NA,NA
pyd,right,NA,NA
pyd,left,NA,NA
PYR,right,NA,NA
PYR,left,NA,NA
RAmb,right,NA,NA
RAmb,left,NA,NA
RCH,right,NA,NA
RCH,left,NA,NA
RE,right,NA,NA
RE,left,NA,NA
RH,right,NA,NA
RH,left,NA,NA
RHP,right,NA,NA
RHP,left,NA,NA
RL,right,NA,NA
RL,left,NA,NA
RM,right,NA,NA
RM,left,NA,NA
RN,right,NA,NA
RN,left,NA,NA
RO,right,NA,NA
RO,left,NA,NA
root,right,NA,NA
root,left,NA,NA
RPA,right,NA,NA
RPA,left,NA,NA
RPF,right,NA,NA
RPF,left,NA,NA
RPO,right,NA,NA
RPO,left,NA,NA
RR,right,NA,NA
RR,left,NA,NA
RSP,right,NA,NA
RSP,left,NA,NA
RSPagl,right,NA,NA
RSPagl,left,NA,NA
RSPagl1,right,NA,NA
RSPagl1,left,NA,NA
RSPagl2/3,right,NA,NA
RSPagl2/3,left,NA,NA
RSPagl5,right,NA,NA
RSPagl5,left,NA,NA
RSPagl6a,right,NA,NA
RSPagl6a,left,NA,NA
RSPagl6b,right,NA,NA
RSPagl6b,left,NA,NA
RSPd,right,NA,NA
RSPd,left,NA,NA
RSPd1,right,NA,NA
RSPd1,left,NA,NA
RSPd2/3,right,NA,NA
RSPd2/3,left,NA,NA
RSPd4,right,NA,NA
RSPd4,left,NA,NA
RSPd5,right,NA,NA
RSPd5,left,NA,NA
RSPd6a,right,NA,NA
RSPd6a,left,NA,NA
RSPd6b,right,NA,NA
RSPd6b,left,NA,NA
RSPv,right,NA,NA
RSPv,left,NA,NA
RSPv1,right,NA,NA
RSPv1,left,NA,NA
RSPv2/3,right,NA,NA
RSPv2/3,left,NA,NA
RSPv5,right,NA,NA
RSPv5,left,NA,NA
RSPv6a,right,NA,NA
RSPv6a,left,NA,NA
RSPv6b,right,NA,NA
RSPv6b,left,NA,NA
RT,right,NA,NA
RT,left,NA,NA
rust,right,NA,NA
rust,left,NA,NA
SAG,right,NA,NA
SAG,left,NA,NA
sAMY,right,NA,NA
sAMY,left,NA,NA
SBPV,right,NA,NA
SBPV,left,NA,NA
SCdg,right,NA,NA
SCdg,left,NA,NA
SCdw,right,NA,NA
SCdw,left,NA,NA
SCH,right,NA,NA
SCH,left,NA,NA
SCig,right,NA,NA
SCig,left,NA,NA
SCiw,right,NA,NA
SCiw,left,NA,NA
SCm,right,NA,NA
SCm,left,NA,NA
SCO,right,NA,NA
SCO,left,NA,NA
SCop,right,NA,NA
SCop,left,NA,NA
scp,right,NA,NA
scp,left,NA,NA
SCs,right,NA,NA
SCs,left,NA,NA
SCsg,right,NA,NA
SCsg,left,NA,NA
sctd,right,NA,NA
sctd,left,NA,NA
sctv,right,NA,NA
sctv,left,NA,NA
scwm,right,NA,NA
scwm,left,NA,NA
SCzo,right,NA,NA
SCzo,left,NA,NA
SEZ,right,NA,NA
SEZ,left,NA,NA
SF,right,NA,NA
SF,left,NA,NA
SFO,right,NA,NA
SFO,left,NA,NA
SG,right,NA,NA
SG,left,NA,NA
SGN,right,NA,NA
SGN,left,NA,NA
SH,right,NA,NA
SH,left,NA,NA
SI,right,NA,NA
SI,left,NA,NA
SIM,right,NA,NA
SIM,left,NA,NA
SLC,right,NA,NA
SLC,left,NA,NA
SLD,right,NA,NA
SLD,left,NA,NA
sm,right,NA,NA
sm,left,NA,NA
SMT,right,NA,NA
SMT,left,NA,NA
SNc,right,NA,NA
SNc,left,NA,NA
SNr,right,NA,NA
SNr,left,NA,NA
SO,right,NA,NA
SO,left,NA,NA
SOC,right,NA,NA
SOC,left,NA,NA
SOCl,right,NA,NA
SOCl,left,NA,NA
SOCm,right,NA,NA
SOCm,left,NA,NA
SPA,right,NA,NA
SPA,left,NA,NA
SPF,right,NA,NA
SPF,left,NA,NA
SPFm,right,NA,NA
SPFm,left,NA,NA
SPFp,right,NA,NA
SPFp,left,NA,NA
SPIV,right,NA,NA
SPIV,left,NA,NA
sptV,right,NA,NA
sptV,left,NA,NA
SPVC,right,NA,NA
SPVC,left,NA,NA
SPVI,right,NA,NA
SPVI,left,NA,NA
SPVO,right,NA,NA
SPVO,left,NA,NA
SS,right,NA,NA
SS,left,NA,NA
SSp,right,NA,NA
SSp,left,NA,NA
SSp-bfd,right,NA,NA
SSp-bfd,left,NA,NA
SSp-bfd1,right,NA,NA
SSp-bfd1,left,NA,NA
SSp-bfd2/3,right,NA,NA
SSp-bfd2/3,left,NA,NA
SSp-bfd4,right,NA,NA
SSp-bfd4,left,NA,NA
SSp-bfd5,right,NA,NA
SSp-bfd5,left,NA,NA
SSp-bfd6a,right,NA,NA
SSp-bfd6a,left,NA,NA
SSp-bfd6b,right,NA,NA
SSp-bfd6b,left,NA,NA
SSp-ll,right,NA,NA
SSp-ll,left,NA,NA
SSp-ll1,right,NA,NA
SSp-ll1,left,NA,NA
SSp-ll2/3,right,NA,NA
SSp-ll2/3,left,NA,NA
SSp-ll4,right,NA,NA
SSp-ll4,left,NA,NA
SSp-ll5,right,NA,NA
SSp-ll5,left,NA,NA
SSp-ll6a,right,NA,NA
SSp-ll6a,left,NA,NA
SSp-ll6b,right,NA,NA
SSp-ll6b,left,NA,NA
SSp-m,right,NA,NA
SSp-m,left,NA,NA
SSp-m1,right,NA,NA
SSp-m1,left,NA,NA
SSp-m2/3,right,NA,NA
SSp-m2/3,left,NA,NA
SSp-m4,right,NA,NA
SSp-m4,left,NA,NA
SSp-m5,right,NA,NA
SSp-m5,left,NA,NA
SSp-m6a,right,NA,NA
SSp-m6a,left,NA,NA
SSp-m6b,right,NA,NA
SSp-m6b,left,NA,NA
SSp-n,right,NA,NA
SSp-n,left,NA,NA
SSp-n1,right,NA,NA
SSp-n1,left,NA,NA
SSp-n2/3,right,NA,NA
SSp-n2/3,left,NA,NA
SSp-n4,right,NA,NA
SSp-n4,left,NA,NA
SSp-n5,right,NA,NA
SSp-n5,left,NA,NA
SSp-n6a,right,NA,NA
SSp-n6a,left,NA,NA
SSp-n6b,right,NA,NA
SSp-n6b,left,NA,NA
SSp-tr,right,NA,NA
SSp-tr,left,NA,NA
SSp-tr1,right,NA,NA
SSp-tr1,left,NA,NA
SSp-tr2/3,right,NA,NA
SSp-tr2/3,left,NA,NA
SSp-tr4,right,NA,NA
SSp-tr4,left,NA,NA
SSp-tr5,right,NA,NA
SSp-tr5,left,NA,NA
SSp-tr6a,right,NA,NA
SSp-tr6a,left,NA,NA
SSp-tr6b,right,NA,NA
SSp-tr6b,left,NA,NA
SSp-ul,right,NA,NA
SSp-ul,left,NA,NA
SSp-ul1,right,NA,NA
SSp-ul1,left,NA,NA
SSp-ul2/3,right,NA,NA
SSp-ul2/3,left,NA,NA
SSp-ul4,right,NA,NA
SSp-ul4,left,NA,NA
SSp-ul5,right,NA,NA
SSp-ul5,left,NA,NA
SSp-ul6a,right,NA,NA
SSp-ul6a,left,NA,NA
SSp-ul6b,right,NA,NA
SSp-ul6b,left,NA,NA
SSp-un,right,NA,NA
SSp-un,left,NA,NA
SSp-un1,right,NA,NA
SSp-un1,left,NA,NA
SSp-un2/3,right,NA,NA
SSp-un2/3,left,NA,NA
SSp-un4,right,NA,NA
SSp-un4,left,NA,NA
SSp-un5,right,NA,NA
SSp-un5,left,NA,NA
SSp-un6a,right,NA,NA
SSp-un6a,left,NA,NA
SSp-un6b,right,NA,NA
SSp-un6b,left,NA,NA
SSs,right,NA,NA
SSs,left,NA,NA
SSs1,right,NA,NA
SSs1,left,NA,NA
SSs2/3,right,NA,NA
SSs2/3,left,NA,NA
SSs4,right,NA,NA
SSs4,left,NA,NA
SSs5,right,NA,NA
SSs5,left,NA,NA
SSs6a,right,NA,NA
SSs6a,left,NA,NA
SSs6b,right,NA,NA
SSs6b,left,NA,NA
st,right,NA,NA
st,left,NA,NA
stc,right,NA,NA
stc,left,NA,NA
STN,right,NA,NA
STN,left,NA,NA
STR,right,NA,NA
STR,left,NA,NA
STRd,right,NA,NA
STRd,left,NA,NA
STRv,right,NA,NA
STRv,left,NA,NA
Su3,right,NA,NA
Su3,left,NA,NA
SUB,right,NA,NA
SUB,left,NA,NA
SubG,right,NA,NA
SubG,left,NA,NA
SUM,right,NA,NA
SUM,left,NA,NA
sup,right,NA,NA
sup,left,NA,NA
SUT,right,NA,NA
SUT,left,NA,NA
SUV,right,NA,NA
SUV,left,NA,NA
sV,right,NA,NA
sV,left,NA,NA
tb,right,NA,NA
tb,left,NA,NA
TEa,right,NA,NA
TEa,left,NA,NA
TEa1,right,NA,NA
TEa1,left,NA,NA
TEa2/3,right,NA,NA
TEa2/3,left,NA,NA
TEa4,right,NA,NA
TEa4,left,NA,NA
TEa5,right,NA,NA
TEa5,left,NA,NA
TEa6a,right,NA,NA
TEa6a,left,NA,NA
TEa6b,right,NA,NA
TEa6b,left,NA,NA
TH,right,NA,NA
TH,left,NA,NA
TM,right,NA,NA
TM,left,NA,NA
TMd,right,NA,NA
TMd,left,NA,NA
TMv,right,NA,NA
TMv,left,NA,NA
TR,right,NA,NA
TR,left,NA,NA
TRN,right,NA,NA
TRN,left,NA,NA
TRS,right,NA,NA
TRS,left,NA,NA
ts,right,NA,NA
ts,left,NA,NA
tsp,right,NA,NA
tsp,left,NA,NA
tspc,right,NA,NA
tspc,left,NA,NA
tspd,right,NA,NA
tspd,left,NA,NA
TT,right,NA,NA
TT,left,NA,NA
TTd,right,NA,NA
TTd,left,NA,NA
TTv,right,NA,NA
TTv,left,NA,NA
TU,right,NA,NA
TU,left,NA,NA
uf,right,NA,NA
uf,left,NA,NA
UVU,right,NA,NA
UVU,left,NA,NA
V,right,NA,NA
V,left,NA,NA
V3,right,NA,NA
V3,left,NA,NA
V4,right,NA,NA
V4,left,NA,NA
V4r,right,NA,NA
V4r,left,NA,NA
VAL,right,NA,NA
VAL,left,NA,NA
VCO,right,NA,NA
VCO,left,NA,NA
VeCB,right,NA,NA
VeCB,left,NA,NA
VENT,right,NA,NA
VENT,left,NA,NA
VERM,right,NA,NA
VERM,left,NA,NA
vhc,right,NA,NA
vhc,left,NA,NA
VI,right,NA,NA
VI,left,NA,NA
VII,right,NA,NA
VII,left,NA,NA
VIIIn,right,NA,NA
VIIIn,left,NA,NA
VIIn,right,NA,NA
VIIn,left,NA,NA
VIS,right,NA,NA
VIS,left,NA,NA
VISa,right,NA,NA
VISa,left,NA,NA
VISa1,right,NA,NA
VISa1,left,NA,NA
VISa2/3,right,NA,NA
VISa2/3,left,NA,NA
VISa4,right,NA,NA
VISa4,left,NA,NA
VISa5,right,NA,NA
VISa5,left,NA,NA
VISa6a,right,NA,NA
VISa6a,left,NA,NA
VISa6b,right,NA,NA
VISa6b,left,NA,NA
VISal,right,NA,NA
VISal,left,NA,NA
VISal1,right,NA,NA
VISal1,left,NA,NA
VISal2/3,right,NA,NA
VISal2/3,left,NA,NA
VISal4,right,NA,NA
VISal4,left,NA,NA
VISal5,right,NA,NA
VISal5,left,NA,NA
VISal6a,right,NA,NA
VISal6a,left,NA,NA
VISal6b,right,NA,NA
VISal6b,left,NA,NA
VISam,right,NA,NA
VISam,left,NA,NA
VISam1,right,NA,NA
VISam1,left,NA,NA
VISam2/3,right,NA,NA
VISam2/3,left,NA,NA
VISam4,right,NA,NA
VISam4,left,NA,NA
VISam5,right,NA,NA
VISam5,left,NA,NA
VISam6a,right,NA,NA
VISam6a,left,NA,NA
VISam6b,right,NA,NA
VISam6b,left,NA,NA
VISC,right,NA,NA
VISC,left,NA,NA
VISC1,right,NA,NA
VISC1,left,NA,NA
VISC2/3,right,NA,NA
VISC2/3,left,NA,NA
VISC4,right,NA,NA
VISC4,left,NA,NA
VISC5,right,NA,NA
VISC5,left,NA,NA
VISC6a,right,NA,NA
VISC6a,left,NA,NA
VISC6b,right,NA,NA
VISC6b,left,NA,NA
VISl,right,NA,NA
VISl,left,NA,NA
VISl1,right,NA,NA
VISl1,left,NA,NA
VISl2/3,right,NA,NA
VISl2/3,left,NA,NA
VISl4,right,NA,NA
VISl4,left,NA,NA
VISl5,right,NA,NA
VISl5,left,NA,NA
VISl6a,right,NA,NA
VISl6a,left,NA,NA
VISl6b,right,NA,NA
VISl6b,left,NA,NA
VISli,right,NA,NA
VISli,left,NA,NA
VISli1,right,NA,NA
VISli1,left,NA,NA
VISli2/3,right,NA,NA
VISli2/3,left,NA,NA
VISli4,right,NA,NA
VISli4,left,NA,NA
VISli5,right,NA,NA
VISli5,left,NA,NA
VISli6a,right,NA,NA
VISli6a,left,NA,NA
VISli6b,right,NA,NA
VISli6b,left,NA,NA
VISp,right,NA,NA
VISp,left,NA,NA
VISp1,right,NA,NA
VISp1,left,NA,NA
VISp2/3,right,NA,NA
VISp2/3,left,NA,NA
VISp4,right,NA,NA
VISp4,left,NA,NA
VISp5,right,NA,NA
VISp5,left,NA,NA
VISp6a,right,NA,NA
VISp6a,left,NA,NA
VISp6b,right,NA,NA
VISp6b,left,NA,NA
VISpl,right,NA,NA
VISpl,left,NA,NA
VISpl1,right,NA,NA
VISpl1,left,NA,NA
VISpl2/3,right,NA,NA
VISpl2/3,left,NA,NA
VISpl4,right,NA,NA
VISpl4,left,NA,NA
VISpl5,right,NA,NA
VISpl5,left,NA,NA
VISpl6a,right,NA,NA
VISpl6a,left,NA,NA
VISpl6b,right,NA,NA
VISpl6b,left,NA,NA
VISpm,right,NA,NA
VISpm,left,NA,NA
VISpm1,right,NA,NA
VISpm1,left,NA,NA
VISpm2/3,right,NA,NA
VISpm2/3,left,NA,NA
VISpm4,right,NA,NA
VISpm4,left,NA,NA
VISpm5,right,NA,NA
VISpm5,left,NA,NA
VISpm6a,right,NA,NA
VISpm6a,left,NA,NA
VISpm6b,right,NA,NA
VISpm6b,left,NA,NA
VISpor,right,NA,NA
VISpor,left,NA,NA
VISpor1,right,NA,NA
VISpor1,left,NA,NA
VISpor2/3,right,NA,NA
VISpor2/3,left,NA,NA
VISpor4,right,NA,NA
VISpor4,left,NA,NA
VISpor5,right,NA,NA
VISpor5,left,NA,NA
VISpor6a,right,NA,NA
VISpor6a,left,NA,NA
VISpor6b,right,NA,NA
VISpor6b,left,NA,NA
VISrl,right,NA,NA
VISrl,left,NA,NA
VISrl1,right,NA,NA
VISrl1,left,NA,NA
VISrl2/3,right,NA,NA
VISrl2/3,left,NA,NA
VISrl4,right,NA,NA
VISrl4,left,NA,NA
VISrl5,right,NA,NA
VISrl5,left,NA,NA
VISrl6a,right,NA,NA
VISrl6a,left,NA,NA
VISrl6b,right,NA,NA
VISrl6b,left,NA,NA
VL,right,NA,NA
VL,left,NA,NA
VLPO,right,NA,NA
VLPO,left,NA,NA
VM,right,NA,NA
VM,left,NA,NA
VMH,right,NA,NA
VMH,left,NA,NA
VMPO,right,NA,NA
VMPO,left,NA,NA
Vn,right,NA,NA
Vn,left,NA,NA
VNC,right,NA,NA
VNC,left,NA,NA
von,right,NA,NA
von,left,NA,NA
VP,right,NA,NA
VP,left,NA,NA
VPL,right,NA,NA
VPL,left,NA,NA
VPLpc,right,NA,NA
VPLpc,left,NA,NA
VPM,right,NA,NA
VPM,left,NA,NA
VPMpc,right,NA,NA
VPMpc,left,NA,NA
VS,right,NA,NA
VS,left,NA,NA
VTA,right,NA,NA
VTA,left,NA,NA
vtd,right,NA,NA
vtd,left,NA,NA
VTN,right,NA,NA
VTN,left,NA,NA
vVIIIn,right,NA,NA
vVIIIn,left,NA,NA
x,right,NA,NA
x,left,NA,NA
Xi,right,NA,NA
Xi,left,NA,NA
XII,right,NA,NA
XII,left,NA,NA
Xn,right,NA,NA
Xn,left,NA,NA
y,right,NA,NA
y,left,NA,NA
ZI,right,NA,NA
ZI,left,NA,NA
